id,mes,central,agente,descripcion,tecnologia_descripcion,tecnologia,factor_disp_tec_porcentaje,fecha_proceso,lote_id_log,indice_tiempo
121896,1,CURU,CTCURUGG,CT CONC.DEL URUGUAY - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121897,1,DFUN,EPECORDG,EPEC GENERACION,Turbina a gas,TG,0.8431017119838872,2020-05-05 11:07:57.624983,67,2017-01-01
121898,1,DIQU,CTDIQUEG,CENTRAL DIQUE S.A.,Turbina a gas,TG,0.4500837686015571,2020-05-05 11:07:57.624983,67,2017-01-01
121899,1,DSUD,CTDOCKSG,CENTRAL DOCK SUD,Ciclos Combinados,CC,0.9976585772485628,2020-05-05 11:07:57.624983,67,2017-01-01
121900,1,DSUD,CTDOCKSG,CENTRAL DOCK SUD,Turbina a gas,TG,0.7067885432039274,2020-05-05 11:07:57.624983,67,2017-01-01
121901,1,EBAR,CTBARRAG,CT BARRAGAN - ENARSA,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121902,1,ELEP,ELEPCRUG,ELECTROPATAGONIA-C.RIV-C.COMB.,Ciclos Combinados,CC,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121903,1,ENSE,LAPLATAC,LA PLATA COGENERACION SA,Turbina a gas,TG,0.9456279945242984,2020-05-05 11:07:57.624983,67,2017-01-01
121904,1,ESQD,CTESQUSG,CT ESQUINA - SOENERGY,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121905,1,FILO,FILOMORG,C.T. FILO MORADO,Turbina a gas,TG,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121906,1,FORD,CTFORMAG,CT FORMOSA - APR ENERGY,Motor Diesel,DI,0.978464818763326,2020-05-05 11:07:57.624983,67,2017-01-01
121907,1,FRIA,CTFRIASG,GENERACION FRIAS S.A.,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121908,1,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,Ciclos Combinados,CC,0.8995758009223862,2020-05-05 11:07:57.624983,67,2017-01-01
121909,1,GEBA,GENELBAG,GENELBA - PETROBRAS,Ciclos Combinados,CC,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121910,1,GEBA,GENELPLG,PAMPA ENERGIA SA,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121911,1,GOYD,CTGOYASG,CT GOYA - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121912,1,GUEM,CTGUEMEG,C.TERMICA GUEMES S.A.,Turbovapor,TV,0.6088661725177161,2020-05-05 11:07:57.624983,67,2017-01-01
121913,1,GUEM,CTGUEPLG,PAMPA ENERGIA SA,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121914,1,INDE,GINDEPEG,GENERACION INDEPENDENCIA S.A.,Turbina a gas,TG,0.983456812432237,2020-05-05 11:07:57.624983,67,2017-01-01
121915,1,INTA,CTINTASG,CT INTA CATAMARCA - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121916,1,ISVE,CTISLAAG,CT ISLA VERDE - AGGREKO,Motor Diesel,DI,0.8437981180496151,2020-05-05 11:07:57.624983,67,2017-01-01
121917,1,ITAT,CTITATTG,CT ITATI - TURBODISEL,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121918,1,JUAR,CTJUARSG,CT ING JUAREZ - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121919,1,JUNI,CTJUNISG,CT JUNIN,Motor Diesel,DI,0.5621091927204853,2020-05-05 11:07:57.624983,67,2017-01-01
121920,1,LBAN,GELABANG,GENERACION LA BANDA S.A.,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121921,1,LBLA,CTLBLASG,CT LAGUNA BLANCA - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121922,1,LDCU,CTMENPLG,C. TERMICAS MENDOZA PLUS,Ciclos Combinados,CC,0.958691140814858,2020-05-05 11:07:57.624983,67,2017-01-01
121923,1,LDCU,CTMENZAC,C T MENDOZA COGENERADOR,Turbina a gas,TG,0.962408795109446,2020-05-05 11:07:57.624983,67,2017-01-01
121924,1,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA,Ciclos Combinados,CC,0.4655741605448651,2020-05-05 11:07:57.624983,67,2017-01-01
121925,1,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA,Turbovapor,TV,0.9431345353675452,2020-05-05 11:07:57.624983,67,2017-01-01
121926,1,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,Ciclos Combinados,CC,0.9920172123750722,2020-05-05 11:07:57.624983,67,2017-01-01
121927,1,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,Turbina a gas,TG,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121928,1,LEVA,EPECORDG,EPEC GENERACION,Turbina a gas,TG,0.8780521901211557,2020-05-05 11:07:57.624983,67,2017-01-01
121929,1,LIBE,CTLIBESG,CT LIBERTADOR GSM - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121930,1,LINC,CTLINCSG,CT LINCOLN,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121931,1,LOBO,CTLOBOSG,CT LOBOS BS.AS - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121932,1,LPAL,CTLPALTG,CT LAS PALMAS -TURBODISEL,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121933,1,LPLA,CTLAPLSG,CT LA PLATA - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121934,1,LRID,CTLARISG,CT LA RIOJA - SECCO,Motor Diesel,DI,0.9356670341786107,2020-05-05 11:07:57.624983,67,2017-01-01
